n;Rn (cm-1);Pn (cm-1)
0;2147.32;
1;2151.09;2139.66
2;2154.82;2135.78
3;2158.53;2131.86
4;2162.19;2127.91
5;2165.84;2123.92
6;2169.42;2119.91
7;2172.99;2115.86
8;2176.52;2111.77
9;2180;2107.64
10;2183.45;2103.5
11;2186.87;2099.31
12;2190.25;2095.09
13;2193.59;2090.83
14;2196.91;2086.55
15;2200.18;2082.22
16;2203.4;2077.87
17;2206.6;2073.48
18;2209.75;2069.07
19;2212.86;2064.62
20;2215.95;2060.13
21;2219;2055.63
22;2222;2051.08
23;2224.96;2046.5
24;2227.89;2041.89
25;2230.78;2037.25
26;2233.63;2032.58
27;;2027.87
28;;
